DICO: 2024/01/25 08:05:25 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 08:14:31 logger.go:36: [/] Requête reçue : GET /
DICO: 2024/01/25 08:15:12 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 08:20:53 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 08:20:58 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 08:21:01 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 08:28:22 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 08:28:41 logger.go:36: [/api/words/remove/] Requête reçue : DELETE /api/words/remove/
DICO: 2024/01/25 08:28:54 logger.go:36: [/api/words/remove/example] Requête reçue : DELETE /api/words/remove/example
DICO: 2024/01/25 08:50:33 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 08:50:49 logger.go:36: [/api/words/list] Requête reçue : DELETE /api/words/list
DICO: 2024/01/25 08:50:52 logger.go:36: [ApiListWordsHandler] Requête : GET. Route: /api/words/list
DICO: 2024/01/25 08:56:52 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 08:57:04 logger.go:36: [ApiListWordsHandler] Requête : GET. Route: /api/words/list
DICO: 2024/01/25 08:57:06 logger.go:36: [ApiListWordsHandler] Requête : GET. Route: /api/words/list
DICO: 2024/01/25 08:57:06 logger.go:36: [ApiListWordsHandler] Requête : GET. Route: /api/words/list
DICO: 2024/01/25 08:57:12 logger.go:36: [/api/words/list] Requête reçue : PUT /api/words/list
DICO: 2024/01/25 08:57:22 logger.go:36: [/api/words/define/] Requête reçue : PUT /api/words/define/
DICO: 2024/01/25 08:57:28 logger.go:36: [/api/words/define/testtttttttt] Requête reçue : PUT /api/words/define/testtttttttt
DICO: 2024/01/25 10:29:11 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 10:29:18 logger.go:36: [/api/words/define/testtttttttt] Requête reçue : PUT /api/words/define/testtttttttt
DICO: 2024/01/25 10:29:27 logger.go:36: [/api/words/add] Requête reçue : PUT /api/words/add
DICO: 2024/01/25 10:29:29 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 10:29:43 logger.go:36: [/api/words/delete] Requête reçue : POST /api/words/delete
DICO: 2024/01/25 10:29:45 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:29:49 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:29:54 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:30:01 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:30:02 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:30:02 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:30:02 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:30:03 logger.go:36: [/api/words/delete] Requête reçue : DELETE /api/words/delete
DICO: 2024/01/25 10:30:11 logger.go:36: [/api/words/remove/] Requête reçue : DELETE /api/words/remove/
DICO: 2024/01/25 10:30:18 logger.go:36: [/api/words/remove/] Requête reçue : POST /api/words/remove/
DICO: 2024/01/25 10:30:26 logger.go:36: [/api/words/remove/testtttttttt] Requête reçue : POST /api/words/remove/testtttttttt
DICO: 2024/01/25 10:30:31 logger.go:36: [/api/words/remove/testtttttttt] Requête reçue : DELETE /api/words/remove/testtttttttt
DICO: 2024/01/25 10:30:34 logger.go:36: [/api/words/remove/testtttttttt] Requête reçue : DELETE /api/words/remove/testtttttttt
DICO: 2024/01/25 10:30:35 logger.go:36: [/api/words/remove/testtttttttt] Requête reçue : DELETE /api/words/remove/testtttttttt
DICO: 2024/01/25 10:30:42 logger.go:36: [/api/words/remove/testtttttttt] Requête reçue : DELETE /api/words/remove/testtttttttt
DICO: 2024/01/25 10:30:47 logger.go:36: [/api/words/remove/testtttt] Requête reçue : DELETE /api/words/remove/testtttt
DICO: 2024/01/25 10:30:50 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:33:24 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 10:33:31 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:33:32 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:33:40 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:33:55 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:33:56 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:34:01 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:34:03 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:34:03 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:34:03 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 10:34:03 logger.go:36: [/api/words/remove/testtt] Requête reçue : DELETE /api/words/remove/testtt
DICO: 2024/01/25 11:21:07 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 11:21:23 logger.go:36: [/api/words/login] Requête reçue : POST /api/words/login
DICO: 2024/01/25 11:21:32 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:21:43 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:24:44 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:24:51 logger.go:36: [/api/words] Requête reçue : POST /api/words
DICO: 2024/01/25 11:24:55 logger.go:36: [/api/words/list] Requête reçue : POST /api/words/list
DICO: 2024/01/25 11:26:28 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:26:32 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:33:23 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:42:30 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:48:29 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:57:25 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 11:57:40 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:57:48 logger.go:36: [/api/login] Requête reçue : POST /api/login
DICO: 2024/01/25 11:58:37 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:08:37 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 12:08:43 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:09:05 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:10:09 logger.go:36: [/] Requête reçue : GET /
DICO: 2024/01/25 12:10:10 logger.go:36: [/] Requête reçue : GET /
DICO: 2024/01/25 12:10:10 logger.go:36: [/favicon.ico] Requête reçue : GET /favicon.ico
DICO: 2024/01/25 12:10:11 logger.go:36: [/robots.txt] Requête reçue : GET /robots.txt
DICO: 2024/01/25 12:12:07 logger.go:36: [runAPIMode] Server started on :8080
DICO: 2024/01/25 12:12:21 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:12:26 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:12:33 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:13:05 logger.go:36: [/api/words/add] Requête reçue : POST /api/words/add
DICO: 2024/01/25 12:13:42 logger.go:36: [/api/words/define/] Requête reçue : GET /api/words/define/
DICO: 2024/01/25 12:13:45 logger.go:36: [/api/words/define/] Requête reçue : PUT /api/words/define/
DICO: 2024/01/25 12:13:53 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:14:13 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:15:41 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:16:07 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:16:12 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:16:18 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:16:35 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:16:36 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:16:51 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:05 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:08 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:10 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:11 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:11 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:12 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:12 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:13 logger.go:36: [/api/words/define/gooooo] Requête reçue : PUT /api/words/define/gooooo
DICO: 2024/01/25 12:17:15 logger.go:36: [/api/words/define/goo] Requête reçue : PUT /api/words/define/goo
DICO: 2024/01/25 12:17:21 logger.go:36: [/] Requête reçue : GET /
DICO: 2024/01/25 12:18:02 logger.go:36: [/favicon.ico] Requête reçue : GET /favicon.ico
DICO: 2024/01/25 12:18:30 logger.go:36: [/] Requête reçue : GET /
DICO: 2024/01/25 12:18:55 logger.go:36: [/api/words/remove/goo] Requête reçue : PUT /api/words/remove/goo
DICO: 2024/01/25 12:18:59 logger.go:36: [/api/words/remove/goo] Requête reçue : DELETE /api/words/remove/goo
DICO: 2024/01/25 12:19:01 logger.go:36: [/api/words/remove/goo] Requête reçue : DELETE /api/words/remove/goo
DICO: 2024/01/25 12:19:01 logger.go:36: [/api/words/remove/goo] Requête reçue : DELETE /api/words/remove/goo
